date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:23	44548/44548	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2007:26:23%20GMT	https://satumomen.com/preview/mickey-red	D:/gawean/Bongkar%20printer/kids/kids/satumomen.com/preview/mickey-red.html	(from )
14:26:23	83/83	---MCZ	200	added ('OK')	text/plain	etag:W/%2264739ad7-43%22	https://satumomen.com/robots.txt		(from )
14:26:24	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2264aaefd9-11846%22	https://satumomen.com/plugins/animate.css@4.1.1/animate.min.css	D:/gawean/Bongkar%20printer/kids/kids/satumomen.com/plugins/animate.css@4.1.1/animate.min.css	(from https://satumomen.com/preview/mickey-red)
14:26:24	70315/70315	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2012:48:13%20GMT	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	D:/gawean/Bongkar%20printer/kids/kids/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	(from https://satumomen.com/preview/mickey-red)
14:26:24	146856/146856	---MCZ	200	added ('OK')	text/css	etag:W/%22bb47241413ae2729ec621f61520c5083%22	https://assets.satumomen.com/build/assets/bootstrap-vCaDZZbr.css	D:/gawean/Bongkar%20printer/kids/kids/assets.satumomen.com/build/assets/bootstrap-vCaDZZbr.css	(from https://satumomen.com/preview/mickey-red)
14:26:24	7314/7314	---MCZ	200	added ('OK')	text/css	etag:W/%22248b3218cf4e1bde0b2cd25357dac337%22	https://assets.satumomen.com/build/assets/themesv2-DZZF_N8v.css	D:/gawean/Bongkar%20printer/kids/kids/assets.satumomen.com/build/assets/themesv2-DZZF_N8v.css	(from https://satumomen.com/preview/mickey-red)
14:26:24	409/409	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-199%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.css	D:/gawean/Bongkar%20printer/kids/kids/satumomen.com/fonts/brittany_signature/BrittanySignature.css	(from https://satumomen.com/preview/mickey-red)
14:26:25	161/161	---MCZ	200	added ('OK')	text/css	etag:W/%226494fa0e-a1%22	https://satumomen.com/fonts/photograph_signature/fonts.css	D:/gawean/Bongkar%20printer/kids/kids/satumomen.com/fonts/photograph_signature/fonts.css	(from https://satumomen.com/preview/mickey-red)
14:26:25	371/371	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-173%22	https://satumomen.com/fonts/heatwood/Heatwood.css	D:/gawean/Bongkar%20printer/kids/kids/satumomen.com/fonts/heatwood/Heatwood.css	(from https://satumomen.com/preview/mickey-red)
14:26:26	21629/21629	---M--	200	added ('OK')	image/jpeg	etag:%2238a74d210c917e2bcb76a951ca7fa046%22	https://assets.satumomen.com/assets/65e4402c20cbf-1732615009.jpg	D:/gawean/Bongkar%20printer/kids/kids/assets.satumomen.com/assets/65e4402c20cbf-1732615009.jpg	(from https://satumomen.com/preview/mickey-red)
